------------------------------------------------------------
 Ids vs. Vfg (pH = 2)
------------------------------------------------------------
Vfg (V), Ids (A/um)
                0.25,          1.17699e-07
                0.26,          1.21415e-07
                0.27,          1.25714e-07
                0.28,          1.30767e-07
                0.29,            1.368e-07
                 0.3,          1.44117e-07
                0.31,          1.53127e-07
                0.32,          1.64393e-07
                0.33,          1.78691e-07
                0.34,          1.97095e-07
                0.35,          2.21074e-07
                0.36,          2.52585e-07
                0.37,          2.94108e-07
                0.38,          3.48593e-07
                0.39,          4.19662e-07
                 0.4,           5.1393e-07
                0.41,          6.32307e-07
                0.42,          7.73609e-07
                0.43,          9.38749e-07
                0.44,           1.1286e-06
                0.45,          1.34381e-06
                0.46,          1.58483e-06
                0.47,          1.85187e-06
                0.48,          2.14491e-06
                0.49,          2.46368e-06
                 0.5,          2.80774e-06
                0.51,          3.17642e-06
                0.52,          3.56892e-06
                0.53,           3.9843e-06
                0.54,          4.42156e-06
                0.55,          4.87962e-06
                0.56,           5.3574e-06
                0.57,          5.85381e-06
                0.58,          6.36775e-06
                0.59,           6.8982e-06
                 0.6,          7.44415e-06
                0.61,          8.00463e-06
                0.62,          8.57874e-06
                0.63,          9.16563e-06
                0.64,          9.76449e-06
                0.65,          1.03746e-05
                0.66,          1.09952e-05
                0.67,          1.16257e-05
                0.68,          1.22655e-05
                0.69,          1.29139e-05
                 0.7,          1.35706e-05
                0.71,           1.4235e-05
                0.72,          1.49067e-05
                0.73,          1.55852e-05
                0.74,          1.62702e-05
                0.75,          1.69613e-05
                0.76,          1.76582e-05
                0.77,          1.83605e-05
                0.78,           1.9068e-05
                0.79,          1.97805e-05
                 0.8,          2.04976e-05
                0.81,          2.12191e-05
                0.82,          2.19448e-05
                0.83,          2.26746e-05
                0.84,          2.34082e-05
                0.85,          2.41454e-05
                0.86,          2.48861e-05
                0.87,          2.56301e-05
                0.88,          2.63773e-05
                0.89,          2.71275e-05
                 0.9,          2.78807e-05
                0.91,          2.86366e-05
                0.92,          2.93951e-05
                0.93,          3.01563e-05
                0.94,          3.09199e-05
                0.95,          3.16858e-05
                0.96,           3.2454e-05
                0.97,          3.32244e-05
                0.98,          3.39969e-05
                0.99,          3.47715e-05
                   1,          3.55479e-05
                1.01,          3.63263e-05
                1.02,          3.71064e-05
                1.03,          3.78883e-05
                1.04,          3.86719e-05
                1.05,          3.94571e-05
                1.06,          4.02439e-05
                1.07,          4.10322e-05
                1.08,           4.1822e-05
                1.09,          4.26132e-05
                 1.1,          4.34058e-05
                1.11,          4.41997e-05
                1.12,           4.4995e-05
                1.13,          4.57915e-05
                1.14,          4.65891e-05
                1.15,           4.7388e-05
                1.16,          4.81881e-05
                1.17,          4.89892e-05
                1.18,          4.97914e-05
                1.19,          5.05947e-05
                 1.2,           5.1399e-05
                1.21,          5.22043e-05
                1.22,          5.30105e-05
                1.23,          5.38177e-05
                1.24,          5.46258e-05
                1.25,          5.54348e-05
                1.26,          5.62447e-05
                1.27,          5.70554e-05
                1.28,          5.78669e-05
                1.29,          5.86793e-05
                 1.3,          5.94924e-05
                1.31,          6.03063e-05
                1.32,          6.11209e-05
                1.33,          6.19363e-05
                1.34,          6.27523e-05
                1.35,          6.35691e-05
                1.36,          6.43865e-05
                1.37,          6.52046e-05
                1.38,          6.60233e-05
                1.39,          6.68427e-05
                 1.4,          6.76627e-05
                1.41,          6.84832e-05
                1.42,          6.93044e-05
                1.43,          7.01261e-05
                1.44,          7.09484e-05
                1.45,          7.17713e-05
                1.46,          7.25947e-05
                1.47,          7.34186e-05
                1.48,           7.4243e-05
                1.49,          7.50679e-05
                 1.5,          7.58934e-05

------------------------------------------------------------
 Ids vs. Vfg (pH = 5)
------------------------------------------------------------
Vfg (V), Ids (A/um)
                -1.5,          1.30321e-06
               -1.49,          1.29336e-06
               -1.48,          1.28351e-06
               -1.47,          1.27366e-06
               -1.46,          1.26381e-06
               -1.45,          1.25395e-06
               -1.44,          1.24409e-06
               -1.43,          1.23422e-06
               -1.42,          1.22435e-06
               -1.41,          1.21448e-06
